unfccc_label;crf
Table3s2|Total agriculture|Other;CRF3J
Table3s2|Total agriculture|Other carbon-containing fertilizers;CRF3I
Table3s2|Total agriculture|Rice cultivation;CRF3C
Table3s2|Total agriculture|Urea application;CRF3H
Table4|Total LULUCF;CRF4
Table4|Total LULUCF|Cropland;CRF4B
Table4|Total LULUCF|Cropland|Cropland remaining cropland;CRF4B1
Table4|Total LULUCF|Cropland|Land converted to cropland;CRF4B2
Table4|Total LULUCF|Forest land;CRF4A
Table4|Total LULUCF|Forest land|Forest land remaining forest land;CRF4A1
Table4|Total LULUCF|Forest land|Land converted to forest land;CRF4A2
Table4|Total LULUCF|Grassland;CRF4C
Table4|Total LULUCF|Grassland|Grassland remaining grassland;CRF4C1
Table4|Total LULUCF|Grassland|Land converted to grassland;CRF4C2
Table4|Total LULUCF|Harvested wood products;CRF4G
Table4|Total LULUCF|Other;CRF4H
Table4|Total LULUCF|Other land;CRF4F
Table4|Total LULUCF|Other land|Land converted to other land;CRF4F2
Table4|Total LULUCF|Other land|Other land remaining other land;CRF4F1
Table4|Total LULUCF|Settlements;CRF4E
Table4|Total LULUCF|Settlements|Land converted to settlements;CRF4E2
Table4|Total LULUCF|Settlements|Settlements remaining settlements;CRF4E1
Table4|Total LULUCF|Wetlands;CRF4D
Table4|Total LULUCF|Wetlands|Land converted to wetlands;CRF4D2
Table4|Total LULUCF|Wetlands|Wetlands remaining wetlands;CRF4D1
Table5|Total waste;CRF5
Table5|Total waste|Biological treatment of solid waste;CRF5B
Table5|Total waste|Biological treatment of solid waste|Anaerobic digestion at biogas facilities;CRF5B2
Table5|Total waste|Biological treatment of solid waste|Composting;CRF5B1
Table5|Total waste|Incineration and open burning of waste;CRF5C
Table5|Total waste|Incineration and open burning of waste|Open burning of waste;CRF5C2
Table5|Total waste|Incineration and open burning of waste|Waste incineration;CRF5C1
Table5|Total waste|Other;CRF5E
Table5|Total waste|Solid waste disposal;CRF5A
Table5|Total waste|Solid waste disposal|Managed waste disposal sites;CRF5A1
Table5|Total waste|Solid waste disposal|Uncategorized waste disposal sites;CRF5A3
Table5|Total waste|Solid waste disposal|Unmanaged waste disposal sites;CRF5A2
Table5|Total waste|Wastewater treatment and discharge;CRF5D
Table5|Total waste|Wastewater treatment and discharge|Domestic wastewater;CRF5D1
Table5|Total waste|Wastewater treatment and discharge|Industrial wastewater;CRF5D2
Table5|Total waste|Wastewater treatment and discharge|Other;CRF5D3
